z,y,x,lshifty,lshiftx,rshiftx,rshifty,xshiftmax,yshiftmax,elbowangle,prjelbowangle
1632.18,-513.56,-58.18,88.37,-273.64,-218.68,176.99,176.99,-218.68,27.04,13.81
1130.45,-408.57,-54.24,-6.77,-127.82,-48.47,15.33,15.33,-48.47,34.89,31.07
1230.94,-409.76,-56.8,6.1,-126.83,-41.63,26.03,26.03,-41.63,32.03,28.54
1331.17,-410.29,-60.29,-19.74,-118.13,-32.13,29.81,29.81,-32.13,34.38,30.53
1431.66,-411.48,-62.76,11.84,-131.29,-52.68,55.86,55.86,-52.68,25.91,14.31
1531.68,-411.51,-65.77,27.5,-138.8,-65.72,54.49,54.49,-65.72,22.72,5.25
1632,-411.81,-68.38,5.79,-196.09,-128.24,96.16,96.16,-128.24,24.85,13.05
1030.06,-308.29,-62.05,-20.71,-24.14,0.86,-6.29,-6.29,0.86,61.88,61.02
1130.27,-309.01,-65.13,0.58,-15.13,11.39,12.07,12.07,11.39,65.9,65.6
1229.96,-308.5,-67.54,3.82,-55.74,-8.79,6.33,6.33,-8.79,61.81,61.59
1330.81,-309.83,-71.79,-19.97,-28.69,5.82,-6.47,-6.47,5.82,45.04,43.02
1431.12,-310.11,-73.03,-3.28,-71.71,10.1,32.52,32.52,10.1,29.32,23.6
1530.75,-309.41,-74.94,24.51,-78.35,-5.02,65.03,65.03,-5.02,23.45,7.51
1631.66,-311.2,-79.36,7.15,-127.31,-63.6,96.29,96.29,-63.6,25.15,9.11
1029.68,-208.73,-71.85,-1.7,-24.19,6.62,6.57,6.57,6.62,90.4,90.01
1129.9,-208.77,-75.76,-28.99,7.73,16.9,-23.34,-23.34,16.9,81.67,81.51
1230.18,-208.99,-77.84,-20.76,9.44,41.62,0.81,0.81,41.62,78.56,78.3
1431.08,-210.49,-82.4,-21.16,-18.41,57.3,11.99,11.99,57.3,45.88,43.3
1531.03,-210.35,-87.33,-18.49,-6.68,51.52,18.8,18.8,51.52,31.25,25.35
1631.57,-210.74,-89.51,-6.81,-92.75,-9.86,73.42,73.42,-9.86,25.13,9.07
1027.83,-106.39,-83.7,-39.27,24.3, , ,-39.27,24.3, , 
1198.64,-108.9,-63.09,-24.15,50.89,59.16,-8.15,-8.15,59.16,101.39,101.28
1430.16,-109.74,-94.55,-18.7,57.06,89.88,7.09,7.09,89.88,79.3,79.01
1129.04,-9.06,-95.2,-40.98,38.7,42.29,-33.53,-33.53,42.29,120.54,120.76
1327.42,-6.92,-103.57,-43.73,76.36,118.79,-33.29,-33.29,118.79,105.21,105.2
1233.84,-499.61,53.58,33.16,-181.64,-152.46,81.51,81.51,-152.46,23.91,14.25
1334.03,-501.02,50.31,59.96,-192.09,-141.76,88.48,88.48,-141.76,30.66,26.69
1434.52,-500.82,47.36,27.27,-193.92,-143.44,80.77,80.77,-143.44,25.11,16.14
1534.67,-501.56,45.33,34.06,-224.03,-171.64,115.28,115.28,-171.64,25.3,15.25
1634.9,-502.47,43.4,67.1,-264.23,-216,147.36,147.36,-216,26.13,7.03
1132.53,-396.14,44.81,23.26,-92.67,-34.92,33.81,33.81,-34.92,33.68,30.82
1233.52,-399.44,42.4,28.5,-130.09,-63.54,41.61,41.61,-63.54,39.6,37.34
1334.02,-399.55,39.97,1.58,-140.4,-65,44.82,44.82,-65,38.74,36.33
1434.09,-400.13,36.32,34.31,-155.45,-81.59,84.77,84.77,-81.59,33.05,29.21
1534.58,-401.41,34.38,55.03,-164.7,-119.1,115.8,115.8,-119.1,29.97,23.81
1634.67,-400.64,32.42,52.37,-151.69,-90.37,140.78,140.78,-90.37,27.29,20.05
1132.96,-298.58,35.86,0.44,-74.25,-17.22,16.65,16.65,-17.22,51.34,50.21
1233.4,-298.76,32.08,-8.47,-25.9,15.63,12.74,12.74,15.63,43.12,41.04
1333.47,-299.54,29.61,-22.02,-48.86,-10.36,10.51,10.51,-10.36,30.87,26.82
1433.89,-299.12,26.55,-2.46,-41.21,-13.64,30.35,30.35,-13.64,23.39,9.33
1533.8,-299.29,23.85,0.99,-119.12,-6.09,85.94,85.94,-6.09,26.4,16.34
1634.68,-300.61,21.82,42.62,-150.99,-56.58,135.73,135.73,-56.58,26.99,15.74
1031.86,-197.66,27.24,-1.69,-41,-6.39,0.96,0.96,-6.39,74.94,74.58
1233.01,-198.54,20.8,-45.62,-0.31,15.9,-27.21,-27.21,15.9,73.17,72.87
1333.06,-199.01,18.63,-27.41,-24.16,25.61,-1.68,-1.68,25.61,66.88,66.58
1433.38,-199.02,17.09,-20.94,4.48,38.34,1.64,1.64,38.34,59.48,58.75
1533.6,-199.4,14.28,-11.71,-93.77,34.03,77.41,77.41,34.03,29.29,22.68
1634.16,-199.82,10.16,-13.12,-41.43,16.06,74.71,74.71,16.06,26.05,16.1
1029.79,3.68,5.66,-36.26,50.35,25.94,-28.66,-28.66,50.35,103.59,103.51
1232.18,-98.37,11.31,-26.29,49.56,54.51,-14.64,-14.64,54.51,93.84,93.73
1201.55,-32.88,4.01,-93.61,84.53,59.19,-77.54,-77.54,84.53,117.52,117.55
1431.81,-97.55,7.54,-4.22,46.31,63.93,26.47,26.47,63.93,83.01,82.83
1531.52,-96.13,1.83,-30.05,41.7,126.44,31.2,31.2,126.44,38.3,35.09
1236.65,-490.01,153.36,31.46,-182.15,-166.31,95.88,95.88,-166.31,32.72,28.58
1336.93,-490.98,151.11,91.99,-167.49,-183.69,142.15,142.15,-167.49,28.78,24.28
1437.15,-491.12,147.92,117.72,-225.46,-172.38,156.48,156.48,-172.38,22.98,9.55
1536.81,-491.37,148.42,87.49,-246.02,-165.06,162.44,162.44,-165.06,26.25,15.06
1637.53,-491.09,143.43,81.2,-257.33,-200.6,174.67,174.67,-200.6,27.31,17.11
1135.83,-388.14,146.66,60.02,-159.25,-103.78,93.88,93.88,-103.78,38.7,36.09
1235.99,-388.83,143.45,50.12,-197.92,-98.6,102.01,102.01,-98.6,46.02,44.96
1336.25,-388.54,140.29,27.87,-158.76,-88.43,94.93,94.93,-88.43,29.78,24.62
1436.48,-388.72,137.96,35.75,-166.17,-97.24,87.45,87.45,-97.24,30.02,26.84
1537.17,-390.96,135.89,40.38,-134.99,-118.93,123.92,123.92,-118.93,27.3,19.57
1637.45,-390.54,132.58,65.92,-164.46,-109.12,151.81,151.81,-109.12,27.09,19.8
1034.86,-287.14,137.89,35.96,-104.68,-37.83,42.49,42.49,-37.83,45.69,45
1135.23,-287.35,135.47,38.4,-96.08,-37.04,57.54,57.54,-37.04,59.01,58.91
1235.73,-287.99,133.43,0.23,-72.61,-29.41,26.88,26.88,-29.41,55.76,54.92
1336.41,-288.99,129.05,-12.39,-80.53,-63.15,37.08,37.08,-63.15,42.56,40.67
1436.04,-288.67,128.25,26.18,-51.66,-27.03,59.8,59.8,-27.03,35.33,32.74
1536.09,-288.4,125.96, , ,-27.1,134.79,134.79,-27.1,37.16,33.99
1637.26,-290.41,122.37,43.33,-117.4,-68.37,122.01,122.01,-68.37,26.01,18
1134.8,-187.45,124.84,31.57,-20.51,0.37,40.8,40.8,0.37,68.12,67.92
1235.01,-187.29,121.54,8.07,-15.8,-10.27,26.45,26.45,-10.27,73.51,73.36
1334.67,-185.41,116.23,-13.09,-13.8,1.32,12.34,12.34,1.32,59.7,59.42
1436.7,-189.31,115.04,-7.06,-40.47,16.26,44.33,44.33,16.26,56.99,56.17
1535.97,-188.26,113.61,3.58,-89.5,-4.03,88.21,88.21,-4.03,49.06,47.79
1636.57,-188.91,111.37,35.52,-105.42,-16.47,130.81,130.81,-16.47,25.6,11.04
1234.82,-87.52,109.48,-30.54,-6.11,-71.59,-6.26,-6.26,-6.11,88.34,88.37
1348.71,-153.67,95.56,-22.6,12.83,61.23,19.35,19.35,61.23,72.64,72.36
1434.22,-86.93,108.32,-4.38,-14.72,53.72,42.39,42.39,53.72,69.81,69.37
1534.49,-86.23,102.9,-1.61,16.46,45.92,57.9,57.9,45.92,55.03,53.98
1202.39,-18.19,103.04,-65.35,64.34,9.41,-30.15,-30.15,64.34,103.7,103.63
1338.34,-52.5,105.94,-27.81,18.54,-41.66,-24.4,-24.4,18.54,50.08,48.44
1302.53,21.3,130.8,-10.09,77.8,81.83,20.49,20.49,81.83,97.7,97.52
1434.49,11.54,100.38,18.17,67.1,63.23,60.75,60.75,67.1,97.87,97.8
1238.99,-478.78,253.93,70.26,-210.03,-196.43,127.33,127.33,-196.43,29.77,24.74
1338.75,-478.95,252.22,134.07,-221.38,-185.29,176.09,176.09,-185.29,35.08,32.17
1539.6,-480.33,247.34,153.98,-199.91,-191.77,236.47,236.47,-191.77,24.94,13.2
1607.77,-475.23,235.01,157.64,-282.54,-259.25,252.96,252.96,-259.25,25.59,6.84
1238.24,-377.71,244.13,93.23,-194.18,-126.96,133.92,133.92,-126.96,47.75,46.95
1338.88,-379.37,242.16,71.36,-183.95,-134.49,135.4,135.4,-134.49,33.23,29.2
1439,-379.97,240.32,96.19,-182.03,-114.45,163.94,163.94,-114.45,42.66,40.87
1539.19,-378.75,236.32,86.45,-149.41,-141.94,173.91,173.91,-141.94,23.88,12.93
1640.26,-381.19,232.8,248.66,-236.1,-164.58,338.68,338.68,-164.58,24.87,7.89
1338.14,-277.44,230.77,57.73,-120.94,-60.24,103.35,103.35,-60.24,50.92,50.06
1438.05,-277.1,228.82,49.49,-73.32,-65.75,101.32,101.32,-65.75,36.61,34.45
1538.67,-277.89,225.23,86.95,-137.15,-64.36,163.75,163.75,-64.36,44.34,42.73
1639.21,-279.92,224.4,85.44,-121.49,-74.24,170.37,170.37,-74.24,26.53,18.01
1137.2,-176.1,225.65,15.95,-66.7,-62.88,30.75,30.75,-62.88,62.37,62.23
1236.97,-175.27,221.85, , ,-15.83,49.91,49.91,-15.83,63.51,63.13
1337.78,-176.88,220.43,-8.87,-56.89,-42.04,33.92,33.92,-42.04,60.98,60.57
1437.34,-175.62,217.18,12.74,-7.5,2.8,63.24,63.24,2.8,44.87,43.65
1537.61,-176.45,215.37,28.58,-41.7,-18.02,98.46,98.46,-18.02,32.16,28.62
1638.83,-178.36,213,65.44,-80.15,-39.01,150.63,150.63,-39.01,31.07,25.09
1136.51,-75.93,214.44,27.96,-22.82,-46.21,39.91,39.91,-22.82,87.74,87.67
1236.3,-75.62,212.33,-13.35,30.66,-23.07,10.91,10.91,30.66,72.6,72.47
1436.82,-76.22,207.09,44.12,-9.95,27.1,100.69,100.69,27.1,78.49,78.26
1536.28,-75.95,207.76,48.35,2.06,46.91,119.04,119.04,46.91,58.78,58.19
1235.54,24.51,200.92,-23.1,33.43,-18.58,15.28,15.28,33.43,92.07,91.94
1335.61,23.62,201.9,0.19,53.92,28.97,43.19,43.19,53.92,94.73,94.6
1424.74,-583.07,288.29,9.23,-74.3,16.45,14.19,14.19,16.45,133.01,134.61
1408.7,-475.02,278.27,94.17,-230.56,-178.06,179.8,179.8,-178.06,26.7,20.51
